======================================================================
PILOT v3 CHECKPOINT (before decider) [after top-up]
======================================================================
working families (4): openai/gpt-4o-mini, anthropic/claude-3.5-haiku, google/gemini-2.5-flash-lite, meta-llama/llama-3.3-70b-instruct
USABLE (one verified GOOD fix): 85
  54  3710 normal  gemini-2.5-flash-lite  llama-3.3-70b-instruct detectable_format:number_highlighted_sections
  55  1379 rushed  gemini-2.5-flash-lite  gpt-4o-mini            detectable_format:number_highlighted_sections
  58  1897 rushed  gemini-2.5-flash-lite  claude-3.5-haiku       punctuation:no_comma
  59  2216 rushed  gemini-2.5-flash-lite  llama-3.3-70b-instruct detectable_content:postscript
  60  2616 rushed  gemini-2.5-flash-lite  gpt-4o-mini            detectable_format:number_highlighted_sections
  63  3327 rushed  gemini-2.5-flash-lite  claude-3.5-haiku       keywords:frequency
  64  3386 rushed  gemini-2.5-flash-lite  llama-3.3-70b-instruct keywords:existence
  65  3456 rushed  gemini-2.5-flash-lite  gpt-4o-mini            detectable_format:number_highlighted_sections
  66  1132 normal  llama-3.3-70b-instruct claude-3.5-haiku       keywords:forbidden_words
  67  1843 normal  llama-3.3-70b-instruct gemini-2.5-flash-lite  change_case:english_lowercase
  69  3069 normal  llama-3.3-70b-instruct gpt-4o-mini            change_case:english_lowercase
  70  3084 normal  llama-3.3-70b-instruct claude-3.5-haiku       startend:end_checker
  73  3680 normal  llama-3.3-70b-instruct gemini-2.5-flash-lite  keywords:frequency
  74  1287 rushed  llama-3.3-70b-instruct gpt-4o-mini            change_case:english_lowercase
  77  3069 rushed  llama-3.3-70b-instruct claude-3.5-haiku       change_case:english_lowercase
  78  3084 rushed  llama-3.3-70b-instruct gemini-2.5-flash-lite  startend:end_checker
  79  1857 normal  gpt-4o-mini            claude-3.5-haiku       keywords:frequency
  82   102 normal  gpt-4o-mini            gemini-2.5-flash-lite  detectable_format:number_bullet_lists
  83  3198 normal  gpt-4o-mini            llama-3.3-70b-instruct startend:end_checker
  84   142 normal  gpt-4o-mini            claude-3.5-haiku       keywords:frequency
  85  2602 normal  gpt-4o-mini            gemini-2.5-flash-lite  keywords:existence
  86  2662 normal  gpt-4o-mini            llama-3.3-70b-instruct keywords:existence
  87  3409 rushed  gpt-4o-mini            claude-3.5-haiku       detectable_format:number_highlighted_sections
  88  1857 rushed  gpt-4o-mini            gemini-2.5-flash-lite  keywords:frequency
  90  1927 rushed  gpt-4o-mini            llama-3.3-70b-instruct detectable_content:number_placeholders
  92  3198 rushed  gpt-4o-mini            claude-3.5-haiku       startend:end_checker
  93  1644 rushed  gpt-4o-mini            gemini-2.5-flash-lite  detectable_format:number_highlighted_sections
  94  2602 rushed  gpt-4o-mini            llama-3.3-70b-instruct keywords:existence
  95  2485 rushed  gpt-4o-mini            claude-3.5-haiku       keywords:existence
  96  3617 normal  claude-3.5-haiku       gemini-2.5-flash-lite  change_case:english_capital
  99  1776 normal  claude-3.5-haiku       llama-3.3-70b-instruct startend:quotation
 100  3572 normal  claude-3.5-haiku       gpt-4o-mini            change_case:english_capital
 102  1738 normal  claude-3.5-haiku       gemini-2.5-flash-lite  punctuation:no_comma
 103  3617 rushed  claude-3.5-haiku       llama-3.3-70b-instruct change_case:english_capital
 106  1619 rushed  claude-3.5-haiku       gpt-4o-mini            detectable_content:number_placeholders
 107  3572 rushed  claude-3.5-haiku       gemini-2.5-flash-lite  change_case:english_capital
 109  3617 normal  gemini-2.5-flash-lite  llama-3.3-70b-instruct change_case:english_capital
 110  2209 normal  gemini-2.5-flash-lite  gpt-4o-mini            startend:quotation
 111  2273 normal  gemini-2.5-flash-lite  claude-3.5-haiku       detectable_content:postscript
 114  1153 normal  gemini-2.5-flash-lite  llama-3.3-70b-instruct change_case:english_lowercase
 116  2273 rushed  gemini-2.5-flash-lite  gpt-4o-mini            detectable_content:postscript
 119  3703 rushed  gemini-2.5-flash-lite  claude-3.5-haiku       change_case:english_lowercase
 120  3617 normal  llama-3.3-70b-instruct gemini-2.5-flash-lite  change_case:english_capital
 121   202 normal  llama-3.3-70b-instruct gpt-4o-mini            change_case:english_lowercase
 123  2602 normal  llama-3.3-70b-instruct claude-3.5-haiku       keywords:existence
 124  3619 normal  llama-3.3-70b-instruct gemini-2.5-flash-lite  detectable_content:number_placeholders
 128  2398 rushed  llama-3.3-70b-instruct gpt-4o-mini            startend:end_checker
